PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
00AA00E7,Initial/Latest kWh 0 / 16.9610,Normal,Last Reading: 16.9610 - 11/30/2022 9:39:48 AM,11/30/2022 9:40:05 AM,Connected,Magno Grid - E212,01.00.03
00AA00E9,Initial/Latest kWh 0 / 30.1380,Normal,Last Reading: 30.1380 - 11/30/2022 1:09:00 PM,11/30/2022 1:09:19 PM,Connected,Magno Grid - E212,01.00.03
00AA00EB,Initial/Latest kWh 0 / 17.9390,Normal,Last Reading: 17.9390 - 11/30/2022 4:03:22 PM,11/30/2022 4:03:45 PM,Connected,Magno Grid - E212,01.00.03
00AA00F1,Initial/Latest kWh 0 / 6.6810,Normal,Last Reading: 6.6810 - 11/30/2022 1:36:22 PM,11/30/2022 1:36:38 PM,Connected,Magno Grid - E212,01.00.03
00AA00F5,Initial/Latest kWh 0 / 14.3620,Normal,Last Reading: 14.3620 - 11/30/2022 5:53:37 PM,11/30/2022 5:54:07 PM,Connected,Magno Grid - E212,01.00.03
00AA00FD,Initial/Latest kWh 0 / 30.0440,Normal,Last Reading: 30.0440 - 11/30/2022 4:23:24 PM,11/30/2022 4:23:51 PM,Connected,Magno Grid - E212,01.00.03
00AA00FF,Initial/Latest kWh 0 / 16.02,Normal,Last Reading: 16.0200 - 11/30/2022 4:25:30 PM,11/30/2022 4:25:53 PM,Connected,Magno Grid - E212,01.00.03
00AA0103,Initial/Latest kWh 0 / 18.3670,Normal,Last Reading: 18.3670 - 11/30/2022 1:48:27 PM,11/30/2022 1:48:48 PM,Connected,Magno Grid - E212,01.00.03
00AA0105,Initial/Latest kWh 0 / 30.0390,Normal,Last Reading: 30.0390 - 11/30/2022 6:03:49 PM,11/30/2022 6:04:13 PM,Connected,Magno Grid - E212,01.00.03
00AA0107,Initial/Latest kWh 0 / 27.8070,Normal,Last Reading: 27.8070 - 11/30/2022 5:56:28 PM,11/30/2022 5:56:48 PM,Connected,Magno Grid - E212,01.00.03
00AA010F,Initial/Latest kWh 0 / 26.1620,Normal,Last Reading: 26.1620 - 11/23/2022 10:52:45 AM,11/25/2022 4:43:45 PM,Connected,Magno Grid - E212,01.00.03
00AA0119,Initial/Latest kWh 0 / 28.9870,Normal,Last Reading: 28.9870 - 11/30/2022 4:15:49 PM,11/30/2022 4:16:06 PM,Connected,Magno Grid - E212,01.00.03
00AA011B,Initial/Latest kWh 0 / 16.4790,Normal,Last Reading: 16.4790 - 11/30/2022 12:51:57 PM,11/30/2022 12:52:15 PM,Connected,Magno Grid - E212,01.00.03
00AA011D,Initial/Latest kWh 0 / 20.6230,Normal,Last Reading: 20.6230 - 11/30/2022 3:39:48 PM,11/30/2022 3:40:09 PM,Connected,Magno Grid - E212,01.00.03
00AA011F,Initial/Latest kWh 0 / 28.5530,Normal,Last Reading: 28.5530 - 11/30/2022 1:39:48 PM,11/30/2022 1:40:00 PM,Connected,Magno Grid - E212,01.00.03
00AA0121,Initial/Latest kWh 0 / 19.3240,Normal,Last Reading: 19.3240 - 11/30/2022 1:07:05 PM,11/30/2022 1:07:26 PM,Connected,Magno Grid - E212,01.00.03
00AA0129,Initial/Latest kWh 0 /,Normal,Last Reading: - 11/30/2022 9:03:06 AM,11/30/2022 9:03:28 AM,Connected,Magno Grid - E212,01.00.03
