ID,PortMonitor,Status,Kwh,LastReading,LastGoodPacket,ReleStatus,Model,FWver
40056591,Door closed /400565912022-12-19 16:57:16.016098,Normal,,Last Reading:,,,,1.1.4
40059560,Door closed /400595602022-12-19 16:58:32.875659,Normal,,Last Reading:,,,,01.01.04
400565A2,Door closed /400565A22022-12-19 16:59:44.986046,Normal,,Last Reading:,,,,01.01.04
400565B9,Door closed /400565B92022-12-19 17:01:19.328937,Normal,,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,,,01.01.04
400565BF,Door closed /400565BF2022-12-19 17:02:36.386334,Normal,,Last Reading:,,,,01.01.04
400565A7,Door closed /400565A72022-12-19 17:03:55.511082,Normal,,Last Reading:,,,,01.01.04
40056586,Door closed /400565862022-12-19 17:06:04.413939,Normal,,Last Reading:,,,,01.01.04
9160F5DF,Door closed /9160F5DF2022-12-19 17:07:21.656543,Normal,,Last Reading:,,,,01.01.04
400565ED,Door closed /400565ED2022-12-19 17:08:39.871996,Normal,,Last Reading:,,,,01.01.04
40056599,Door closed /400565992022-12-19 17:09:57.895300,Normal,,Last Reading:,,,,01.01.04
4005659E,Door closed /4005659E2022-12-19 17:11:14.805127,Normal,,Last Reading:,,,,01.01.04
40056589,Door closed /400565892022-12-19 17:12:24.775313,Normal,,Last Reading:,,,,01.01.04
400565AD,Door closed /400565AD2022-12-19 17:13:33.451526,Normal,,Last Reading:,,,,1.1.4
400565EE,Door closed /400565EE2022-12-19 17:14:42.715807,Normal,,Last Reading:,,,,01.01.04
400565A0,Door closed /400565A02022-12-19 17:15:53.434077,Normal,,Last Reading:,,,,01.01.04
4005659C,Door closed /4005659C2022-12-19 17:17:03.230504,Normal,,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,,,01.01.04
400565B5,Door closed /400565B52022-12-19 17:18:10.337047,Normal,,Last Reading:,,,,01.01.04
400565BC,Door closed /400565BC2022-12-19 17:19:16.445111,Normal,,Last Reading:,,,,01.01.04
40056596,Door closed /400565962022-12-19 17:20:24.271978,Normal,,Last Reading:,,,,01.01.04
40056601,Door closed /400566012022-12-19 17:21:32.858992,Normal,,Last Reading:,,,,01.01.04
400565F3,Door closed /400565F32022-12-19 17:22:41.053194,Normal,,Last Reading:,,,,01.01.04
400565C3,Door closed /400565C32022-12-19 17:23:48.287838,Normal,,Last Reading:,,,,01.01.04
400565F5,Door closed /400565F52022-12-19 17:24:58.464679,Normal,,Last Reading:,,,,01.01.04
400565E3,Door closed /400565E32022-12-19 17:26:06.400661,Normal,,Last Reading:,,,,01.01.04
00AA007D,,Normal,Initial/Latest kWh 0 / 25.0420,Last Reading: 25.0420 - 11/30/2022 7:27:42 AM,11/30/2022 7:28:08 AM,Connected,Magno Grid - E212,01.00.03
