PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
00AA00E7,Initial/Latest kWh 0 / 17.2230,Normal,Last Reading: 17.2230 - 12/1/2022 6:39:49 AM,12/1/2022 6:40:17 AM,Connected,Magno Grid - E212,01.00.03
00AA00E9,Initial/Latest kWh 0 / 30.3630,Normal,Last Reading: 30.3630 - 12/1/2022 7:08:26 AM,12/1/2022 7:08:51 AM,Connected,Magno Grid - E212,01.00.03
00AA00EB,Initial/Latest kWh 0 / 18.0920,Normal,Last Reading: 18.0920 - 12/1/2022 4:03:21 AM,12/1/2022 4:03:37 AM,Connected,Magno Grid - E212,01.00.03
00AA00F1,Initial/Latest kWh 0 / 6.8750,Normal,Last Reading: 6.8750 - 12/1/2022 5:21:22 AM,12/1/2022 5:21:33 AM,Connected,Magno Grid - E212,01.00.03
00AA00F5,Initial/Latest kWh 0 / 14.5120,Normal,Last Reading: 14.5120 - 12/1/2022 5:53:37 AM,12/1/2022 5:54:02 AM,Connected,Magno Grid - E212,01.00.03
00AA00FD,Initial/Latest kWh 0 / 30.1930,Normal,Last Reading: 30.1930 - 12/1/2022 4:23:10 AM,12/1/2022 4:23:32 AM,Connected,Magno Grid - E212,01.00.03
00AA00FF,Initial/Latest kWh 0 / 16.1690,Normal,Last Reading: 16.1690 - 12/1/2022 4:25:16 AM,12/1/2022 4:25:32 AM,Connected,Magno Grid - E212,01.00.03
00AA0103,Initial/Latest kWh 0 / 18.5870,Normal,Last Reading: 18.5870 - 12/1/2022 7:48:27 AM,12/1/2022 7:48:48 AM,Connected,Magno Grid - E212,01.00.03
00AA0105,Initial/Latest kWh 0 / 30.1910,Normal,Last Reading: 30.1910 - 12/1/2022 6:03:49 AM,12/1/2022 6:04:17 AM,Connected,Magno Grid - E212,01.00.03
00AA0107,Initial/Latest kWh 0 / 27.9570,Normal,Last Reading: 27.9570 - 12/1/2022 5:56:28 AM,12/1/2022 5:56:49 AM,Connected,Magno Grid - E212,01.00.03
00AA010F,Initial/Latest kWh 0 / 26.1620,Normal,Last Reading: 26.1620 - 11/23/2022 10:52:45 AM,11/25/2022 4:43:45 PM,Connected,Magno Grid - E212,01.00.03
00AA0119,Initial/Latest kWh 0 / 29.1340,Normal,Last Reading: 29.1340 - 12/1/2022 4:15:48 AM,12/1/2022 4:16:06 AM,Connected,Magno Grid - E212,01.00.03
00AA011B,Initial/Latest kWh 0 / 16.7070,Normal,Last Reading: 16.7070 - 12/1/2022 6:51:36 AM,12/1/2022 6:51:52 AM,Connected,Magno Grid - E212,01.00.03
00AA011D,Initial/Latest kWh 0 / 20.7720,Normal,Last Reading: 20.7720 - 12/1/2022 3:39:48 AM,12/1/2022 3:40:11 AM,Connected,Magno Grid - E212,01.00.03
00AA011F,Initial/Latest kWh 0 / 28.6990,Normal,Last Reading: 28.6990 - 12/1/2022 1:39:34 AM,12/1/2022 1:39:51 AM,Connected,Magno Grid - E212,01.00.03
00AA0121,Initial/Latest kWh 0 / 19.4720,Normal,Last Reading: 19.4720 - 12/1/2022 1:06:51 AM,12/1/2022 1:07:11 AM,Connected,Magno Grid - E212,01.00.03
00AA0129,Initial/Latest kWh 0 /,Normal,Last Reading: - 12/1/2022 6:39:06 AM,12/1/2022 6:39:30 AM,Connected,Magno Grid - E212,01.00.03
00AA012B,Initial/Latest kWh 0 / 25.7590,Normal,Last Reading: 25.7590 - 11/23/2022 9:58:47 AM,11/25/2022 4:41:42 PM,Connected,Magno Grid - E212,01.00.03
00AA0139,Initial/Latest kWh 0 / 38.3660,Normal,Last Reading: 38.3660 - 11/23/2022 2:58:47 PM,11/25/2022 4:39:45 PM,Connected,Magno Grid - E212,01.00.03
00AA013B,Initial/Latest kWh 0 / 26.1520,Normal,Last Reading: 26.1520 - 11/30/2022 8:36:19 AM,11/30/2022 8:36:41 AM,Connected,Magno Grid - E212,01.00.03
00AA0141,Initial/Latest kWh 0 / 33.6380,Normal,Last Reading: 33.6380 - 11/23/2022 1:16:46 PM,11/25/2022 4:43:22 PM,Connected,Magno Grid - E212,01.00.03
00AA0143,Initial/Latest kWh 0 / 20.8370,Normal,Last Reading: 20.8370 - 12/1/2022 12:01:27 AM,12/1/2022 12:01:43 AM,Connected,Magno Grid - E212,01.00.03
00AA0145,Initial/Latest kWh 0 / 29.9810,Normal,Last Reading: 29.9810 - 11/30/2022 10:43:59 AM,11/30/2022 10:44:19 AM,Connected,Magno Grid - E212,01.00.03
00AA0147,Initial/Latest kWh 0 / 44.4270,Normal,Last Reading: 44.4270 - 11/30/2022 12:22:09 PM,11/30/2022 12:22:30 PM,Connected,Magno Grid - E212,01.00.03
00AA0149,Initial/Latest kWh 0 / 17.73,Normal,Last Reading: 17.7300 - 12/1/2022 12:34:10 AM,12/1/2022 12:34:33 AM,Connected,Magno Grid - E212,01.00.03
00AA014B,Initial/Latest kWh 0 / 25.40,Normal,Last Reading: 25.4000 - 11/30/2022 11:16:43 AM,11/30/2022 11:17:04 AM,Connected,Magno Grid - E212,01.00.03
00AA014D,Initial/Latest kWh 0 / 16.1070,Normal,Last Reading: 16.1070 - 12/1/2022 2:12:17 AM,12/1/2022 2:12:34 AM,Connected,Magno Grid - E212,01.00.03
00AA014F,Initial/Latest kWh 0 / 20.6620,Normal,Last Reading: 20.6620 - 11/30/2022 11:28:44 PM,11/30/2022 11:29:09 PM,Connected,Magno Grid - E212,01.00.03
