ID,PortMonitor,Status,Kwh,LastReading,LastGoodPacket,ReleStatus,Model,FWver
40056591,Door closed /400565912022-12-20 09:43:03.674365,Normal,,Last Reading:,,,,1.1.4
40059560,Door closed /400595602022-12-20 09:44:41.863916,Normal,,Last Reading:,,,,01.01.04
400565A2,Door closed /400565A22022-12-20 09:45:56.177511,Normal,,Last Reading:,,,,01.01.04
400565B9,Door closed /400565B92022-12-20 09:47:08.255702,Normal,,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,,,01.01.04
400565BF,Door closed /400565BF2022-12-20 09:48:20.992449,Normal,,Last Reading:,,,,01.01.04
400565A7,Door closed /400565A72022-12-20 09:49:47.302158,Normal,,Last Reading:,,,,01.01.04
40056586,Door closed /400565862022-12-20 09:51:03.252092,Normal,,Last Reading:,,,,01.01.04
9160F5DF,Door closed /9160F5DF2022-12-20 09:52:22.002236,Normal,,Last Reading:,,,,01.01.04
400565ED,Door closed /400565ED2022-12-20 09:53:49.779693,Normal,,Last Reading:,,,,01.01.04
40056599,Door closed /400565992022-12-20 09:55:02.530766,Normal,,Last Reading:,,,,01.01.04
4005659E,Door closed /4005659E2022-12-20 09:56:13.119895,Normal,,Last Reading:,,,,01.01.04
40056589,Door closed /400565892022-12-20 09:57:25.784669,Normal,,Last Reading:,,,,01.01.04
400565AD,Door closed /400565AD2022-12-20 09:58:43.365499,Normal,,Last Reading:,,,,1.1.4
400565EE,Door closed /400565EE2022-12-20 09:59:51.302617,Normal,,Last Reading:,,,,01.01.04
400565A0,Door closed /400565A02022-12-20 10:01:00.148530,Normal,,Last Reading:,,,,01.01.04
4005659C,Door closed /4005659C2022-12-20 10:02:31.305530,Normal,,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,,,01.01.04
400565B5,Door closed /400565B52022-12-20 10:03:46.676224,Normal,,Last Reading:,,,,01.01.04
400565BC,Door closed /400565BC2022-12-20 10:04:57.423193,Normal,,Last Reading:,,,,01.01.04
40056596,Door closed /400565962022-12-20 10:06:05.883079,Normal,,Last Reading:,,,,01.01.04
40056601,Door closed /400566012022-12-20 10:07:14.208159,Normal,,Last Reading:,,,,01.01.04
400565F3,Door closed /400565F32022-12-20 10:08:25.340632,Normal,,Last Reading:,,,,01.01.04
400565C3,Door closed /400565C32022-12-20 10:09:32.770137,Normal,,Last Reading:,,,,01.01.04
400565F5,Door closed /400565F52022-12-20 10:10:43.823816,Normal,,Last Reading:,,,,01.01.04
400565E3,Door closed /400565E32022-12-20 10:11:53.070126,Normal,,Last Reading:,,,,01.01.04
00AA007D,,Normal,Initial/Latest kWh 0 / 25.0420,Last Reading: 25.0420 - 11/30/2022 7:27:42 AM,11/30/2022 7:28:08 AM,Connected,Magno Grid - E212,01.00.03
00AA0087,,Normal,Initial/Latest kWh 0 / 26.9780,Last Reading: 26.9780 - 11/30/2022 9:05:52 AM,11/30/2022 9:06:10 AM,Connected,Magno Grid - E212,01.00.03
00AA00AD,,Normal,Initial/Latest kWh 0 / 35.4040,Last Reading: 35.4040 - 12/20/2022 9:18:27 AM,12/20/2022 9:18:47 AM,Connected,Magno Grid - E212,01.00.03
00AA00B1,,Normal,Initial/Latest kWh 0 / 41.9120,Last Reading: 41.9120 - 11/30/2022 8:00:25 AM,11/30/2022 8:00:42 AM,Connected,Magno Grid - E212,01.00.03
00AA00B5,,Normal,Initial/Latest kWh 0 / 47.7680,Last Reading: 47.7680 - 12/20/2022 7:32:02 AM,12/20/2022 7:32:24 AM,Connected,Magno Grid - E212,01.00.03
00AA00C9,,Normal,Initial/Latest kWh 0 / 44.1190,Last Reading: 44.1190 - 12/20/2022 7:52:45 AM,12/20/2022 7:53:10 AM,Connected,Magno Grid - E212,01.00.03
00AA00CB,,Normal,Initial/Latest kWh 0 / 50.8680,Last Reading: 50.8680 - 12/20/2022 10:16:46 AM,12/20/2022 10:17:08 AM,Connected,Magno Grid - E212,01.00.03
00AA00CF,,Normal,Initial/Latest kWh 0 / 31.1830,Last Reading: 31.1830 - 11/30/2022 9:38:35 AM,11/30/2022 9:39:05 AM,Connected,Magno Grid - E212,01.00.03
00AA00D1,,Normal,Initial/Latest kWh 0 / 22.88,Last Reading: 22.8800 - 12/20/2022 6:18:28 AM,12/20/2022 6:18:55 AM,Connected,Magno Grid - E212,01.00.03
00AA00D7,,Normal,Initial/Latest kWh 0 / 23.66,Last Reading: 23.6600 - 12/20/2022 6:14:07 AM,12/20/2022 6:14:23 AM,Connected,Magno Grid - E212,01.00.03
00AA00D9,,Normal,Initial/Latest kWh 0 / 26.4650,Last Reading: 26.4650 - 12/20/2022 6:50:08 AM,12/20/2022 6:50:26 AM,Connected,Magno Grid - E212,01.00.03
00AA00DB,,Normal,Initial/Latest kWh 0 / 26.5420,Last Reading: 26.5420 - 12/20/2022 7:48:28 AM,12/20/2022 7:48:51 AM,Connected,Magno Grid - E212,01.00.03
00AA00DF,,Normal,Initial/Latest kWh 0 / 20.8980,Last Reading: 20.8980 - 12/20/2022 5:38:07 AM,12/20/2022 5:38:31 AM,Connected,Magno Grid - E212,01.00.03
00AA00E1,,Normal,Initial/Latest kWh 0 / 19.55,Last Reading: 19.5500 - 11/30/2022 7:30:53 AM,11/30/2022 7:31:10 AM,Connected,Magno Grid - E212,01.00.03
00AA00E3,,Normal,Initial/Latest kWh 0 / 36.1960,Last Reading: 36.1960 - 12/20/2022 5:56:27 AM,12/20/2022 5:56:48 AM,Connected,Magno Grid - E212,01.00.03
00AA00E5,,Normal,Initial/Latest kWh 0 / 26.2510,Last Reading: 26.2510 - 12/20/2022 8:15:22 AM,12/20/2022 8:15:37 AM,Connected,Magno Grid - E212,01.00.03
