PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
40059560,Door closed /400595602022-11-22 13:07:25.207011,Normal,Last Reading:,,01.01.03
400565A2,Door closed /400565A22022-11-22 13:08:40.584540,Normal,Last Reading:,,01.01.04
400565B9,Door closed /400565B92022-11-22 13:09:52.707261,Normal,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,01.01.04
400565BF,Door closed /400565BF2022-11-22 13:11:03.205759,Normal,Last Reading:,,01.01.04
400565A7,Door closed /400565A72022-11-22 13:12:14.896519,Normal,Last Reading:,,01.01.04
40056586,Door closed /400565862022-11-22 13:13:25.567151,Normal,Last Reading:,,01.01.04
9160F5DF,Door closed /9160F5DF2022-11-22 13:14:34.698023,Normal,Last Reading:,,01.01.04
400565ED,Door closed /400565ED2022-11-22 13:15:57.380341,Normal,Last Reading:,,01.01.04
40056599,Door closed /400565992022-11-22 13:17:09.821252,Normal,Last Reading:,,01.01.04
4005659E,Door closed /4005659E2022-11-22 13:18:58.046233,Normal,Last Reading:,,01.01.04
40056589,Door closed /400565892022-11-22 13:20:05.837348,Normal,Last Reading:,,01.01.04
400565AD,Door closed /400565AD2022-11-22 13:21:14.567896,Failed,Last Reading: 28.2700 - 11/22/2022 1:18:51 PM,,01.01.04
400565EE,Door closed /400565EE2022-11-22 13:22:22.533053,Normal,Last Reading:,,01.01.04
400565A0,Door closed /400565A02022-11-22 13:23:35.700417,Normal,Last Reading:,,01.01.04
4005659C,Door closed /4005659C2022-11-22 13:24:46.754321,Normal,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,01.01.04
400565B5,Door closed /400565B52022-11-22 13:25:54.941171,Normal,Last Reading:,,01.01.04
400565BC,Door closed /400565BC2022-11-22 13:27:02.858589,Normal,Last Reading:,,01.01.04
40056596,Door closed /400565962022-11-22 13:28:06.942472,Normal,Last Reading:,,01.01.04
40056601,Door closed /400566012022-11-22 13:29:13.520385,Normal,Last Reading:,,01.01.04
400565F3,Door closed /400565F32022-11-22 13:30:22.853382,Normal,Last Reading:,,01.01.04
400565C3,Door closed /400565C32022-11-22 13:31:34.942719,Normal,Last Reading:,,01.01.04
400565F5,Door closed /400565F52022-11-22 13:32:42.306885,Normal,Last Reading:,,01.01.04
400565E3,Door closed /400565E32022-11-22 13:34:01.545634,Normal,Last Reading:,,01.01.04
00AA007D,Initial/Latest kWh 0 / 22.6370,Normal,Last Reading: 22.6370 - 11/22/2022 8:04:09 AM,11/22/2022 8:04:29 AM,Connected,Magno Grid - E212,01.00.03
00AA0087,Initial/Latest kWh 0 / 24.58,Normal,Last Reading: 24.5800 - 11/22/2022 9:42:19 AM,11/22/2022 9:42:46 AM,Connected,Magno Grid - E212,01.00.03
00AA00AD,Initial/Latest kWh 0 / 27.1270,Normal,Last Reading: 27.1270 - 11/22/2022 10:48:27 AM,11/22/2022 10:48:49 AM,Connected,Magno Grid - E212,01.00.03
00AA00B1,Initial/Latest kWh 0 / 39.5720,Normal,Last Reading: 39.5720 - 11/22/2022 8:36:52 AM,11/22/2022 8:37:14 AM,Connected,Magno Grid - E212,01.00.03
00AA00B5,Initial/Latest kWh 0 / 39.3930,Normal,Last Reading: 39.3930 - 11/22/2022 9:24:12 AM,11/22/2022 9:24:43 AM,Connected,Magno Grid - E212,01.00.03
00AA00C9,Initial/Latest kWh 0 / 35.7750,Normal,Last Reading: 35.7750 - 11/22/2022 12:04:45 PM,11/22/2022 12:05:02 PM,Connected,Magno Grid - E212,01.00.03
00AA00CB,Initial/Latest kWh 0 / 42.32,Normal,Last Reading: 42.3200 - 11/22/2022 8:28:46 AM,11/22/2022 8:29:08 AM,Connected,Magno Grid - E212,01.00.03
00AA00CF,Initial/Latest kWh 0 / 28.8110,Normal,Last Reading: 28.8110 - 11/22/2022 10:15:01 AM,11/22/2022 10:15:23 AM,Connected,Magno Grid - E212,01.00.03
00AA00D1,Initial/Latest kWh 0 / 14.6110,Normal,Last Reading: 14.6110 - 11/22/2022 7:48:28 AM,11/22/2022 7:48:54 AM,Connected,Magno Grid - E212,01.00.03
00AA00D7,Initial/Latest kWh 0 / 15.3790,Normal,Last Reading: 15.3790 - 11/22/2022 8:38:07 AM,11/22/2022 8:38:26 AM,Connected,Magno Grid - E212,01.00.03
00AA00D9,Initial/Latest kWh 0 / 17.94,Normal,Last Reading: 17.9400 - 11/22/2022 9:14:07 AM,11/22/2022 9:14:35 AM,Connected,Magno Grid - E212,01.00.03
00AA00DB,Initial/Latest kWh 0 / 18.14,Normal,Last Reading: 18.1400 - 11/22/2022 9:18:29 AM,11/22/2022 9:18:58 AM,Connected,Magno Grid - E212,01.00.03
00AA00DF,Initial/Latest kWh 0 / 12.7360,Normal,Last Reading: 12.7360 - 11/22/2022 8:02:07 AM,11/22/2022 8:02:27 AM,Connected,Magno Grid - E212,01.00.03
00AA00E1,Initial/Latest kWh 0 / 17.1480,Normal,Last Reading: 17.1480 - 11/22/2022 8:40:03 AM,11/22/2022 8:40:17 AM,Connected,Magno Grid - E212,01.00.03
00AA00E3,Initial/Latest kWh 0 / 27.6750,Normal,Last Reading: 27.6750 - 11/22/2022 1:08:27 PM,11/22/2022 1:08:45 PM,Connected,Magno Grid - E212,01.00.03
00AA00E5,Initial/Latest kWh 0 / 18.0430,Normal,Last Reading: 18.0430 - 11/22/2022 9:27:23 AM,11/22/2022 9:27:37 AM,Connected,Magno Grid - E212,01.00.03
00AA00E7,Initial/Latest kWh 0 / 14.4870,Normal,Last Reading: 14.4870 - 11/22/2022 4:15:49 AM,11/22/2022 4:16:11 AM,Connected,Magno Grid - E212,01.00.03
00AA00E9,Initial/Latest kWh 0 / 27.7030,Normal,Last Reading: 27.7030 - 11/22/2022 10:44:26 AM,11/22/2022 10:44:37 AM,Connected,Magno Grid - E212,01.00.03
00AA00EB,Initial/Latest kWh 0 / 15.4680,Normal,Last Reading: 15.4680 - 11/22/2022 1:39:22 PM,11/22/2022 1:39:36 PM,Connected,Magno Grid - E212,01.00.03
00AA00F1,Initial/Latest kWh 0 / 4.2950,Normal,Last Reading: 4.2950 - 11/22/2022 11:21:22 AM,11/22/2022 11:21:42 AM,Connected,Magno Grid - E212,01.00.03
00AA00F5,Initial/Latest kWh 0 / 11.8580,Normal,Last Reading: 11.8580 - 11/22/2022 9:53:37 AM,11/22/2022 9:54:05 AM,Connected,Magno Grid - E212,01.00.03
