00AA00FD,Initial/Latest kWh 0 / 27.5570,Normal,Last Reading: 27.5570 - 11/22/2022 8:16:23 AM,11/22/2022 8:16:39 AM,Connected,Magno Grid - E212,01.00.03
00AA00FF,Initial/Latest kWh 0 / 13.60,Normal,Last Reading: 13.6000 - 11/22/2022 1:45:39 PM,11/22/2022 1:45:53 PM,Connected,Magno Grid - E212,01.00.03
00AA0103,Initial/Latest kWh 0 / 15.9860,Normal,Last Reading: 15.9860 - 11/22/2022 11:18:27 AM,11/22/2022 11:18:57 AM,Connected,Magno Grid - E212,01.00.03
00AA0105,Initial/Latest kWh 0 / 27.4170,Normal,Last Reading: 27.4170 - 11/22/2022 3:39:48 AM,11/22/2022 3:40:11 AM,Connected,Magno Grid - E212,01.00.03
00AA0107,Initial/Latest kWh 0 / 25.3020,Normal,Last Reading: 25.3020 - 11/22/2022 9:32:28 AM,11/22/2022 9:32:59 AM,Connected,Magno Grid - E212,01.00.03
00AA010F,Initial/Latest kWh 0 / 25.8510,Normal,Last Reading: 25.8510 - 11/22/2022 10:52:45 AM,11/22/2022 10:53:03 AM,Connected,Magno Grid - E212,01.00.03
00AA0119,Initial/Latest kWh 0 / 26.5260,Normal,Last Reading: 26.5260 - 11/22/2022 7:51:48 AM,11/22/2022 7:52:06 AM,Connected,Magno Grid - E212,01.00.03
00AA011B,Initial/Latest kWh 0 / 14.0330,Normal,Last Reading: 14.0330 - 11/22/2022 10:44:49 AM,11/22/2022 10:45:14 AM,Connected,Magno Grid - E212,01.00.03
00AA011D,Initial/Latest kWh 0 / 18.1280,Normal,Last Reading: 18.1280 - 11/22/2022 7:15:48 AM,11/22/2022 7:16:12 AM,Connected,Magno Grid - E212,01.00.03
00AA011F,Initial/Latest kWh 0 / 26.2010,Normal,Last Reading: 26.2010 - 11/22/2022 11:32:40 AM,11/22/2022 11:32:58 AM,Connected,Magno Grid - E212,01.00.03
00AA0121,Initial/Latest kWh 0 / 16.9320,Normal,Last Reading: 16.9320 - 11/22/2022 10:59:57 AM,11/22/2022 11:00:07 AM,Connected,Magno Grid - E212,01.00.03
00AA0129,Initial/Latest kWh 0 /,Normal,Last Reading: - 11/22/2022 10:15:06 AM,11/22/2022 10:15:33 AM,Connected,Magno Grid - E212,01.00.03
00AA012B,Initial/Latest kWh 0 / 25.4630,Normal,Last Reading: 25.4630 - 11/22/2022 9:58:47 AM,11/22/2022 9:59:11 AM,Connected,Magno Grid - E212,01.00.03
00AA0139,Initial/Latest kWh 0 / 37.9940,Normal,Last Reading: 37.9940 - 11/22/2022 8:58:47 AM,11/22/2022 8:59:12 AM,Connected,Magno Grid - E212,01.00.03
00AA013B,Initial/Latest kWh 0 / 23.7360,Normal,Last Reading: 23.7360 - 11/22/2022 9:45:30 AM,11/22/2022 9:45:58 AM,Connected,Magno Grid - E212,01.00.03
00AA0141,Initial/Latest kWh 0 / 33.3340,Normal,Last Reading: 33.3340 - 11/22/2022 1:16:45 PM,11/22/2022 1:17:11 PM,Connected,Magno Grid - E212,01.00.03
00AA0143,Initial/Latest kWh 0 / 18.2740,Normal,Last Reading: 18.2740 - 11/22/2022 9:54:33 AM,11/22/2022 9:54:56 AM,Connected,Magno Grid - E212,01.00.03
00AA0145,Initial/Latest kWh 0 / 27.5780,Normal,Last Reading: 27.5780 - 11/22/2022 11:20:26 AM,11/22/2022 11:20:38 AM,Connected,Magno Grid - E212,01.00.03
00AA0147,Initial/Latest kWh 0 / 41.98,Normal,Last Reading: 41.9800 - 11/22/2022 12:58:36 PM,11/22/2022 12:58:56 PM,Connected,Magno Grid - E212,01.00.03
00AA0149,Initial/Latest kWh 0 / 15.2170,Normal,Last Reading: 15.2170 - 11/22/2022 10:27:16 AM,11/22/2022 10:27:41 AM,Connected,Magno Grid - E212,01.00.03
00AA014B,Initial/Latest kWh 0 / 23.0420,Normal,Last Reading: 23.0420 - 11/22/2022 11:53:09 AM,11/22/2022 11:53:22 AM,Connected,Magno Grid - E212,01.00.03
00AA014D,Initial/Latest kWh 0 / 13.5510,Normal,Last Reading: 13.5510 - 11/22/2022 12:05:23 PM,11/22/2022 12:05:43 PM,Connected,Magno Grid - E212,01.00.03
00AA014F,Initial/Latest kWh 0 / 18.0990,Normal,Last Reading: 18.0990 - 11/22/2022 9:21:50 AM,11/22/2022 9:22:11 AM,Connected,Magno Grid - E212,01.00.03
00AA0151,Initial/Latest kWh 0 / 41.0540,Normal,Last Reading: 41.0540 - 11/22/2022 12:40:45 PM,11/22/2022 12:41:12 PM,Connected,Magno Grid - E212,01.00.03
00AA0153,Initial/Latest kWh 0 / 32.11,Normal,Last Reading: 32.1100 - 11/22/2022 12:25:52 PM,11/22/2022 12:26:12 PM,Connected,Magno Grid - E212,01.00.03
00AA0155,Initial/Latest kWh 0 / 27.8160,Normal,Last Reading: 27.8160 - 11/21/2022 1:08:21 PM,11/21/2022 1:08:46 PM,Disconnected,Magno Grid - E212,01.00.03
00AA0157,Initial/Latest kWh 0 / 49.4450,Normal,Last Reading: 49.4450 - 11/22/2022 11:02:03 AM,11/22/2022 11:02:25 AM,Connected,Magno Grid - E212,01.00.03
00AA0159,Initial/Latest kWh 0 / 14.5680,Normal,Last Reading: 14.5680 - 11/22/2022 2:07:13 PM,11/22/2022 2:07:30 PM,Connected,Magno Grid - E212,01.00.03
00AA015B,Initial/Latest kWh 0 / 14.4970,Normal,Last Reading: 14.4970 - 11/22/2022 10:03:23 AM,11/22/2022 10:03:45 AM,Connected,Magno Grid - E212,01.00.03
00AA015E,Initial/Latest kWh 0 / 15.0850,Normal,Last Reading: 15.0850 - 11/22/2022 9:39:24 AM,11/22/2022 9:39:44 AM,Connected,Magno Grid - E212,01.00.03
00AA0160,Initial/Latest kWh 0 / 18.3310,Normal,Last Reading: 18.3310 - 11/22/2022 9:03:48 AM,11/22/2022 9:04:16 AM,Connected,Magno Grid - E212,01.00.03
00AA0162,Initial/Latest kWh 0 / 14.3170,Normal,Last Reading: 14.3170 - 11/22/2022 12:51:22 PM,11/22/2022 12:51:40 PM,Connected,Magno Grid - E212,01.00.03
00AA019C,Initial/Latest kWh 0 / 12.9390,Normal,Last Reading: 12.9390 - 11/22/2022 12:40:13 PM,11/22/2022 12:40:31 PM,Connected,Magno Grid - E212,01.00.03
00AA01A0,Initial/Latest kWh 0 / 14.7890,Normal,Last Reading: 14.7890 - 11/22/2022 6:39:48 AM,11/22/2022 6:40:07 AM,Connected,Magno Grid - E212,01.00.03
00AA01A2,Initial/Latest kWh 0 / 26.3040,Normal,Last Reading: 26.3040 - 11/22/2022 6:03:48 AM,11/22/2022 6:04:08 AM,Connected,Magno Grid - E212,01.00.03
00AA01A7,Initial/Latest kWh 0 / 14.6160,Normal,Last Reading: 14.6160 - 11/22/2022 8:27:48 AM,11/22/2022 8:28:15 AM,Connected,Magno Grid - E212,01.00.03
00AA01A9,Initial/Latest kWh 0 / 22.4170,Normal,Last Reading: 22.4170 - 11/22/2022 1:10:50 PM,11/22/2022 1:11:16 PM,Connected,Magno Grid - E212,01.00.03
00AA01AB,Initial/Latest kWh 0 / 0.3220,Normal,Last Reading: 0.3220 - 11/22/2022 11:17:32 AM,11/22/2022 11:17:49 AM,Connected,Magno Grid - E212,01.00.03
00AA01AD,Initial/Latest kWh 0 / 0.3290,Normal,Last Reading: 0.3290 - 11/22/2022 12:22:58 PM,11/22/2022 12:23:17 PM,Connected,Magno Grid - E212,01.00.03
00AA01AF,Initial/Latest kWh 0 / 18.7130,Normal,Last Reading: 18.7130 - 11/22/2022 12:18:27 PM,11/22/2022 12:18:54 PM,Connected,Magno Grid - E212,01.00.03
00AA01B1,Initial/Latest kWh 0 / 17.21,Normal,Last Reading: 17.2100 - 11/22/2022 12:06:22 PM,11/22/2022 12:06:44 PM,Connected,Magno Grid - E212,01.00.03
00AA01B3,Initial/Latest kWh 0 / 12.6850,Normal,Last Reading: 12.6850 - 11/22/2022 9:23:56 AM,11/22/2022 9:24:22 AM,Connected,Magno Grid - E212,01.00.03
00AA01B5,Initial/Latest kWh 0 / 18.37,Normal,Last Reading: 18.3700 - 11/22/2022 10:36:22 AM,11/22/2022 10:36:41 AM,Connected,Magno Grid - E212,01.00.03
00AA01B7,Initial/Latest kWh 0 / 14.3450,Normal,Last Reading: 14.3450 - 11/22/2022 2:51:05 PM,11/22/2022 2:51:25 PM,Connected,Magno Grid - E212,01.00.03
00AA01B9,Initial/Latest kWh 0 / 15.0570,Normal,Last Reading: 15.0570 - 11/22/2022 11:34:46 AM,11/22/2022 11:35:10 AM,Connected,Magno Grid - E212,01.00.03
00AA01BB,Initial/Latest kWh 0 / 25.69,Normal,Last Reading: 25.6900 - 11/22/2022 9:56:39 AM,11/22/2022 9:56:58 AM,Connected,Magno Grid - E212,01.00.03
00AA01BD,Initial/Latest kWh 0 / 10.8120,Normal,Last Reading: 10.8120 - 11/22/2022 12:55:42 PM,11/22/2022 12:56:07 PM,Connected,Magno Grid - E212,01.00.03
00AA01BF,Initial/Latest kWh 0 / 15.90,Normal,Last Reading: 15.9000 - 11/22/2022 1:12:56 PM,11/22/2022 1:13:17 PM,Connected,Magno Grid - E212,01.00.03
00AA01C2,Initial/Latest kWh 0 / 12.9160,Normal,Last Reading: 12.9160 - 11/22/2022 12:07:30 PM,11/22/2022 12:07:57 PM,Connected,Magno Grid - E212,01.00.03
00AA01C4,Initial/Latest kWh 0 / 25.6140,Normal,Last Reading: 25.6140 - 11/22/2022 12:14:06 PM,11/22/2022 12:14:33 PM,Connected,Magno Grid - E212,01.00.03
00AA01C6,Initial/Latest kWh 0 / 18.66,Normal,Last Reading: 18.6600 - 11/22/2022 2:27:48 PM,11/22/2022 2:28:09 PM,Connected,Magno Grid - E212,01.00.03
00AA01C8,Initial/Latest kWh 0 / 17.5260,Normal,Last Reading: 17.5260 - 11/22/2022 11:38:06 AM,11/22/2022 11:38:25 AM,Connected,Magno Grid - E212,01.00.03
00AA01CA,Initial/Latest kWh 0 / 14.7550,Normal,Last Reading: 14.7550 - 11/22/2022 11:02:06 AM,11/22/2022 11:02:29 AM,Connected,Magno Grid - E212,01.00.03
00AA01D3,Initial/Latest kWh 0 / 16.8770,Normal,Last Reading: 16.8770 - 11/22/2022 11:50:15 AM,11/22/2022 11:50:29 AM,Connected,Magno Grid - E212,01.00.03
00AA01D5,Initial/Latest kWh 0 / 29.49,Normal,Last Reading: 29.4900 - 11/22/2022 10:08:28 AM,11/22/2022 10:08:47 AM,Connected,Magno Grid - E212,01.00.03
00AA01D7,Initial/Latest kWh 0 / 16.1340,Normal,Last Reading: 16.1340 - 11/21/2022 4:08:21 PM,11/21/2022 4:08:34 PM,Connected,Magno Grid - E212,01.00.03
00AA01D9,Initial/Latest kWh 0 / 14.2790,Normal,Last Reading: 14.2790 - 11/22/2022 12:48:27 PM,11/22/2022 12:48:47 PM,Connected,Magno Grid - E212,01.00.03
00AA01DB,Initial/Latest kWh 0 / 13.3610,Normal,Last Reading: 13.3610 - 11/22/2022 2:18:22 PM,11/22/2022 2:18:52 PM,Connected,Magno Grid - E212,01.00.03
00AA01DF,Initial/Latest kWh 0 / 19.4270,Normal,Last Reading: 19.4270 - 11/22/2022 1:34:30 PM,11/22/2022 1:34:45 PM,Connected,Magno Grid - E212,01.00.03
00AA01E1,Initial/Latest kWh 0 / 17.6950,Normal,Last Reading: 17.6950 - 11/22/2022 1:03:22 PM,11/22/2022 1:03:40 PM,Connected,Magno Grid - E212,01.00.03
00AA01E3,Initial/Latest kWh 0 / 15.1320,Normal,Last Reading: 15.1320 - 11/22/2022 12:27:21 PM,11/22/2022 12:27:40 PM,Connected,Magno Grid - E212,01.00.03
00AA01E5,Initial/Latest kWh 0 / 15.0330,Normal,Last Reading: 15.0330 - 11/22/2022 11:51:21 AM,11/22/2022 11:51:40 AM,Connected,Magno Grid - E212,01.00.03
00AA01E7,Initial/Latest kWh 0 / 14.1280,Normal,Last Reading: 14.1280 - 11/22/2022 10:50:54 AM,11/22/2022 10:51:22 AM,Connected,Magno Grid - E212,01.00.03
00AA01E9,Initial/Latest kWh 0 / 14.2850,Normal,Last Reading: 14.2850 - 11/22/2022 12:29:03 PM,11/22/2022 12:29:32 PM,Connected,Magno Grid - E212,01.00.03
00AA01EB,Initial/Latest kWh 0 / 17.9480,Normal,Last Reading: 17.9480 - 11/22/2022 11:56:20 AM,11/22/2022 11:56:35 AM,Connected,Magno Grid - E212,01.00.03
00AA01ED,Initial/Latest kWh 0 / 17.17,Normal,Last Reading: 17.1700 - 11/22/2022 1:01:47 PM,11/22/2022 1:02:12 PM,Connected,Magno Grid - E212,01.00.03
00AA01EF,Initial/Latest kWh 0 / 32.2870,Normal,Last Reading: 32.2870 - 11/22/2022 10:47:43 AM,11/22/2022 10:47:59 AM,Connected,Magno Grid - E212,01.00.03
00AA01F1,Initial/Latest kWh 0 / 16.98,Normal,Last Reading: 16.9800 - 11/22/2022 11:15:21 AM,11/22/2022 11:15:34 AM,Connected,Magno Grid - E212,01.00.03
00AA01F3,Initial/Latest kWh 0 / 15.3440,Normal,Last Reading: 15.3440 - 11/22/2022 10:39:21 AM,11/22/2022 10:39:39 AM,Connected,Magno Grid - E212,01.00.03
00AA01F5,Initial/Latest kWh 0 / 24.8520,Normal,Last Reading: 24.8520 - 11/22/2022 2:56:28 PM,11/22/2022 2:56:59 PM,Connected,Magno Grid - E212,01.00.03
00AA01F7,Initial/Latest kWh 0 / 20.6510,Normal,Last Reading: 20.6510 - 11/22/2022 9:48:28 AM,11/22/2022 9:48:50 AM,Connected,Magno Grid - E212,01.00.03
00AA01F9,Initial/Latest kWh 0 / 30.7310,Normal,Last Reading: 30.7310 - 11/22/2022 2:18:28 PM,11/22/2022 2:18:49 PM,Connected,Magno Grid - E212,01.00.03
00AA01FC,Initial/Latest kWh 0 / 31.4880,Normal,Last Reading: 31.4880 - 11/22/2022 1:58:46 PM,11/22/2022 1:59:06 PM,Connected,Magno Grid - E212,01.00.03
00AA01FE,Initial/Latest kWh 0 / 19.07,Normal,Last Reading: 19.0700 - 11/22/2022 10:18:29 AM,11/22/2022 10:18:56 AM,Connected,Magno Grid - E212,01.00.03
00AA0200,Initial/Latest kWh 0 / 13.3350,Normal,Last Reading: 13.3350 - 11/22/2022 2:48:59 PM,11/22/2022 2:49:23 PM,Connected,Magno Grid - E212,01.00.03
00AA0204,Initial/Latest kWh 0 /,Normal,Last Reading:,,Connected,Magno Grid - E212,01.00.03
00AA0206,Initial/Latest kWh 0 / 18.2140,Normal,Last Reading: 18.2140 - 11/22/2022 1:43:33 PM,11/22/2022 1:43:53 PM,Connected,Magno Grid - E212,01.00.03
00AA0208,Initial/Latest kWh 0 / 35.2990,Normal,Last Reading: 35.2990 - 11/22/2022 3:04:46 PM,11/22/2022 3:05:06 PM,Connected,Magno Grid - E212,01.00.03
00AA020C,Initial/Latest kWh 0 / 35.92,Normal,Last Reading: 35.9200 - 11/22/2022 1:52:46 PM,11/22/2022 1:53:00 PM,Connected,Magno Grid - E212,01.00.03
00AA0214,Initial/Latest kWh 0 / 10.5950,Normal,Last Reading: 10.5950 - 11/22/2022 11:23:37 AM,11/22/2022 11:23:51 AM,Connected,Magno Grid - E212,01.00.03
00AA0216,Initial/Latest kWh 0 / 0.3640,Normal,Last Reading: 0.3640 - 11/22/2022 2:33:51 PM,11/22/2022 2:34:11 PM,Connected,Magno Grid - E212,01.00.03
00AA021C,Initial/Latest kWh 0 / 29.1370,Normal,Last Reading: 29.1370 - 11/22/2022 1:31:19 PM,11/22/2022 1:31:40 PM,Connected,Magno Grid - E212,01.00.03
00AA021E,Initial/Latest kWh 0 / 32.3770,Normal,Last Reading: 32.3770 - 11/22/2022 10:15:38 AM,11/22/2022 10:16:05 AM,Connected,Magno Grid - E212,01.00.03
00AA0222,Initial/Latest kWh 0 / 17.5510,Normal,Last Reading: 17.5510 - 11/22/2022 1:18:28 PM,11/22/2022 1:18:52 PM,Connected,Magno Grid - E212,01.00.03
00AA0224,Initial/Latest kWh 0 /,Inventory,Last Reading: - 11/17/2022 12:30:04 PM,11/17/2022 12:30:24 PM,Disconnected,Magno Grid - E212,01.00.03
00AA0228,Initial/Latest kWh 0 / 57.9530,Normal,Last Reading: 57.9530 - 11/22/2022 11:28:45 AM,11/22/2022 11:29:05 AM,Connected,Magno Grid - E212,01.00.03
00AA0232,Initial/Latest kWh 0 / 25.9890,Normal,Last Reading: 25.9890 - 11/22/2022 2:20:27 PM,11/22/2022 2:20:51 PM,Connected,Magno Grid - E212,01.00.03
00AA0234,Initial/Latest kWh 0 / 16.8410,Normal,Last Reading: 16.8410 - 11/22/2022 3:06:34 PM,11/22/2022 3:06:57 PM,Connected,Magno Grid - E212,01.00.03
00AA0236,Initial/Latest kWh 0 / 0.3570,Normal,Last Reading: 0.3570 - 11/22/2022 1:28:25 PM,11/22/2022 1:28:48 PM,Connected,Magno Grid - E212,01.00.03
00AA0238,Initial/Latest kWh 0 / 27.1410,Normal,Last Reading: 27.1410 - 11/22/2022 11:20:26 AM,11/22/2022 11:20:38 AM,Connected,Magno Grid - E212,01.00.03
00AA023A,Initial/Latest kWh 0 / 24.8060,Normal,Last Reading: 24.8060 - 11/22/2022 11:56:26 AM,11/22/2022 11:56:45 AM,Connected,Magno Grid - E212,01.00.03
00AA023C,Initial/Latest kWh 0 / 18.2720,Normal,Last Reading: 18.2720 - 11/22/2022 10:12:08 AM,11/22/2022 10:12:29 AM,Connected,Magno Grid - E212,01.00.03
00AA023E,Initial/Latest kWh 0 / 22.81,Normal,Last Reading: 22.8100 - 11/22/2022 1:44:27 PM,11/22/2022 1:44:52 PM,Connected,Magno Grid - E212,01.00.03
00AA0240,Initial/Latest kWh 0 / 26.6160,Normal,Last Reading: 26.6160 - 11/22/2022 10:18:12 AM,11/22/2022 10:18:36 AM,Connected,Magno Grid - E212,01.00.03
00AA0244,Initial/Latest kWh 0 / 28.8250,Normal,Last Reading: 28.8250 - 11/22/2022 10:26:06 AM,11/22/2022 10:26:21 AM,Connected,Magno Grid - E212,01.00.03
00AA024A,Initial/Latest kWh 0 / 14.5680,Normal,Last Reading: 14.5680 - 11/22/2022 2:51:22 PM,11/22/2022 2:51:45 PM,Connected,Magno Grid - E212,01.00.03
00AA024C,Initial/Latest kWh 0 / 15.2710,Normal,Last Reading: 15.2710 - 11/22/2022 12:50:07 PM,11/22/2022 12:50:29 PM,Connected,Magno Grid - E212,01.00.03
00AA024E,Initial/Latest kWh 0 / 17.4650,Normal,Last Reading: 17.4650 - 11/22/2022 1:26:07 PM,11/22/2022 1:26:37 PM,Connected,Magno Grid - E212,01.00.03
00AA0250,Initial/Latest kWh 0 / 22.7290,Normal,Last Reading: 22.7290 - 11/22/2022 2:48:28 PM,11/22/2022 2:48:53 PM,Connected,Magno Grid - E212,01.00.03
00AA0252,Initial/Latest kWh 0 / 13.8450,Normal,Last Reading: 13.8450 - 11/22/2022 11:48:27 AM,11/22/2022 11:48:49 AM,Connected,Magno Grid - E212,01.00.03
00AA089E,Initial/Latest kWh 0 / 10.3080,Normal,Last Reading: 10.3080 - 11/22/2022 3:06:23 PM,11/22/2022 3:06:42 PM,Connected,Magno Grid - E223,01.00.03
00AA08A0,Initial/Latest kWh 0 / 10.2680,Normal,Last Reading: 10.2680 - 11/22/2022 1:36:23 PM,11/22/2022 1:36:44 PM,Connected,Magno Grid - E223,01.00.03
00AA08A2,Initial/Latest kWh 0 / 10.4990,Normal,Last Reading: 10.4990 - 11/22/2022 2:21:23 PM,11/22/2022 2:21:51 PM,Connected,Magno Grid - E223,01.00.03
00AA08A4,Initial/Latest kWh 0 / 10.0640,Normal,Last Reading: 10.0640 - 11/22/2022 3:51:23 PM,11/22/2022 3:51:42 PM,Connected,Magno Grid - E223,01.00.03
00AA08A6,Initial/Latest kWh 0 / 0.6450,Normal,Last Reading: 0.6450 - 11/22/2022 11:03:52 AM,11/22/2022 11:04:17 AM,Connected,Magno Grid - E223,01.00.03
00AA08A8,Initial/Latest kWh 0 / 0.6940,Normal,Last Reading: 0.6940 - 11/22/2022 12:33:52 PM,11/22/2022 12:34:06 PM,Connected,Magno Grid - E223,01.00.03
00AA08AC,Initial/Latest kWh 0 / 3.1320,Normal,Last Reading: 3.1320 - 11/22/2022 10:55:36 AM,11/22/2022 10:55:51 AM,Connected,Magno Grid - E223,01.00.06
00AA08B2,Initial/Latest kWh 0 / 2.9140,Normal,Last Reading: 2.9140 - 11/22/2022 4:29:13 PM,11/22/2022 4:29:31 PM,Connected,Magno Grid - E223,01.00.03
00AA08B6,Initial/Latest kWh 0 / 2.1790,Normal,Last Reading: 2.1790 - 11/22/2022 12:38:07 PM,11/22/2022 12:38:32 PM,Connected,Magno Grid - E223,01.00.03
400A29D0,Initial/Latest kWh 0 / 2.1670,Normal,Last Reading: 2.1670 - 11/22/2022 2:32:42 PM,11/22/2022 2:32:59 PM,Connected,Magno Grid - E223,01.00.03
400A29D2,Initial/Latest kWh 0 / 22.5070,Normal,Last Reading: 22.5070 - 11/22/2022 3:09:28 PM,11/22/2022 3:09:45 PM,Connected,Magno Grid - E223,01.00.03
400A29D4,Initial/Latest kWh 0 /,Normal,Last Reading:,,Connected,Magno Grid - E223,01.00.03
400A29D6,Initial/Latest kWh 0 / 3.4040,Normal,Last Reading: 3.4040 - 11/22/2022 2:01:08 PM,11/22/2022 2:01:26 PM,Connected,Magno Grid - E223,01.00.03
